importid,_id,point_1_geo,point_1_name,point_1_city,point_1_postal_code,point_1_street,point_1_street_number,point_1_country,point_2_geo,point_2_name,point_2_street,point_2_postal_code,point_2_country,point_2_street_number,point_2_city,ndt_in_kmh,rba_id,organisation,duration_in_sec,road_type,report_id,distance_in_meters,report_name
141,246,0101000020E6100000C0950937B75F2440C6F84906A7124C40,3197,Aarhus,8000,Søndre Ringgade,52,Denmark,0101000020E61000000028293C0B5E2440315055372E134C40,3196,Søndre Ringgade,8000,Denmark,52,"""Aarhus""",49,182240,"""COWI""",37,"""MAJOR_ROAD""",181168,503,"""AAR_BT_0153 3197 3196"""
142,247,0101000020E6100000803B88774064244096670775A1174C40,3155,Århus N,8200,Randersvej,141,Denmark,0101000020E6100000802D5A52C66524400388B68613174C40,3154,Randersvej,8200,Denmark,164,"""Aarhus""",40,182242,"""COWI""",46,"""MAJOR_ROAD""",181197,516,"""AAR_BT_0154 3155 3154"""
143,249,0101000020E6100000802D5A52C66524400388B68613174C40,3154,Aarhus,8200,Randersvej,164,Denmark,0101000020E6100000807B824C3A672440F2811B7088164C40,3977,Randersvej,8200,Denmark,51,"""Aarhus Municipality""",46,182246,"""COWI""",39,"""MAJOR_ROAD""",181251,503,"""AAR_BT_0156 3154 3977"""
144,250,0101000020E6100000807B82834E6724402AC4986A89164C40,3977,Aarhus,8200,Randersvej,54,Denmark,0101000020E6100000802D5A89DA6524400ABFE97A14174C40,3154,Randersvej,8200,Denmark,164,"""Aarhus""",37,182248,"""COWI""",49,"""MAJOR_ROAD""",181277,504,"""AAR_BT_0157 3977 3154"""
145,282,0101000020E610000000AB9579C76C2440C7D76861EE174C40,2661,Risskov,8240,Vejlby Ringvej,0,Denmark,0101000020E610000000E0670E2C7024402DB4BFE9CA184C40,4581,Grenåvej,8240,Denmark,0,"""Risskov""",41,186217,"""COWI""",85,"""MAJOR_ROAD""",184892,966,"""AAR_BT_0189 2661 4581"""
146,252,0101000020E61000004070B2C7036A2440F2FAB17C86154C40,3152,Aarhus,8000,Nørrebrogade,44,Denmark,0101000020E6100000807B82834E6724402AC4986A89164C40,3977,Randersvej,8200,Denmark,54,"""Aarhus""",37,182252,"""COWI""",92,"""MAJOR_ROAD""",181331,938,"""AAR_BT_0159 3152 3977"""
147,253,0101000020E61000004070B2EAEF6924404AFC6A8885154C40,3152,Aarhus,8000,Nørrebrogade,45,Denmark,0101000020E610000000F20821886C24408CF8543B9C144C40,4374,,8000,Denmark,0,"""Aarhus""",39,183575,"""COWI""",79,"""MAJOR_ROAD""",182657,852,"""AAR_BT_0160 3152 4374"""
148,254,0101000020E610000000F20806A36C244056DB3D2A9E144C40,4374,Aarhus,8000,Nørreport,18,Denmark,0101000020E61000004070B2C7036A2440F2FAB17C86154C40,3152,Nørrebrogade,8000,Denmark,44,"""Aarhus""",41,183577,"""COWI""",75,"""MAJOR_ROAD""",182683,850,"""AAR_BT_0161 4374 3152"""
149,255,0101000020E610000000B7EE2E8F4E24406A060CBD18164C40,3159,Aarhus,8210,Viborgvej,209,Denmark,0101000020E61000004031CECF765224401B5780A4A6154C40,3158,Viborgvej,8210,Denmark,165-167,"""Aarhus""",44,183579,"""COWI""",50,"""MAJOR_ROAD""",182712,613,"""AAR_BT_0162 3159 3158"""
150,256,0101000020E61000004031CECF765224401B5780A4A6154C40,3158,Aarhus,8210,Viborgvej,165-167,Denmark,0101000020E610000000B7EEAC984E244017CC20541A164C40,3159,Viborgvej,8210,Denmark,209,"""Aarhus""",39,183581,"""COWI""",56,"""MAJOR_ROAD""",182738,612,"""AAR_BT_0163 3158 3159"""
151,257,0101000020E61000004031CECF765224401B5780A4A6154C40,3158,Aarhus,8210,Viborgvej,165-167,Denmark,0101000020E61000008068AECD4E5B244024334E84C8144C40,3157,Viborgvej,8210,Denmark,47,"""Aarhus""",44,183583,"""COWI""",110,"""MAJOR_ROAD""",182766,1337,"""AAR_BT_0164 3158 3157"""
152,258,0101000020E61000008068AEB6565B2440CB20CF0FCB144C40,3157,Aarhus,8210,Viborgvej,47,Denmark,0101000020E61000004031CECF765224401B5780A4A6154C40,3158,Viborgvej,8210,Denmark,165-167,"""Aarhus""",40,183585,"""COWI""",119,"""MAJOR_ROAD""",182792,1330,"""AAR_BT_0165 3157 3158"""
153,259,0101000020E61000008068AECD4E5B244024334E84C8144C40,3157,Aarhus,8210,Viborgvej,47,Denmark,0101000020E61000008092579222602440D76F0FD567144C40,3156,Viborgvej,8000,Denmark,14,"""Aarhus""",38,183587,"""COWI""",64,"""MAJOR_ROAD""",182820,670,"""AAR_BT_0166 3157 3156"""
154,262,0101000020E6100000803FC4140C3F2440B94E021E87134C40,3202,Aarhus,8220,Silkeborgvej,607,Denmark,0101000020E6100000C03461E7CE38244060181AB79E134C40,3976,Silkeborgvej,8220,Denmark,607,"""Aarhus""",50,183593,"""COWI""",55,"""MAJOR_ROAD""",182901,768,"""AAR_BT_0169 3202 3976"""
155,263,0101000020E6100000803FC4140C3F2440B94E021E87134C40,3202,Aarhus,8220,Silkeborgvej,607,Denmark,0101000020E6100000000130ED3D43244004C8FE8C8D134C40,3201,Silkeborgvej,8220,Denmark,562,"""Aarhus""",47,183595,"""COWI""",39,"""MAJOR_ROAD""",182929,512,"""AAR_BT_0170 3202 3201"""
156,264,0101000020E6100000000130ED3D43244004C8FE8C8D134C40,3201,Aarhus,8220,Silkeborgvej,562,Denmark,0101000020E6100000803FC4140C3F2440B94E021E87134C40,3202,Silkeborgvej,8220,Denmark,607,"""Aarhus""",48,183597,"""COWI""",38,"""MAJOR_ROAD""",182955,511,"""AAR_BT_0171 3201 3202"""
157,265,0101000020E6100000000130ED3D43244004C8FE8C8D134C40,3201,Aarhus,8220,Silkeborgvej,562,Denmark,0101000020E6100000008DD4EB3247244082E3EEF499134C40,3200,Silkeborgvej,8220,Denmark,521,"""Aarhus""",52,183599,"""COWI""",33,"""MAJOR_ROAD""",182983,481,"""AAR_BT_0172 3201 3200"""
158,266,0101000020E6100000008DD4592E4724403FF4BD439E134C40,3200,Aarhus,8220,Silkeborgvej,521,Denmark,0101000020E6100000000130ED3D43244004C8FE8C8D134C40,3201,Silkeborgvej,8220,Denmark,562,"""Aarhus""",49,183601,"""COWI""",35,"""MAJOR_ROAD""",183009,481,"""AAR_BT_0173 3200 3201"""
159,267,0101000020E6100000008DD4EB3247244082E3EEF499134C40,3200,Aarhus,8220,Silkeborgvej,521,Denmark,0101000020E610000000EC4E019C502440A9A2D743CA134C40,3199,Silkeborgvej,8230,Denmark,303,"""Aarhus""",41,183603,"""COWI""",100,"""MAJOR_ROAD""",183037,1152,"""AAR_BT_0174 3200 3199"""
160,268,0101000020E610000000EC4E019C502440A9A2D743CA134C40,3199,Aarhus,8230,Silkeborgvej,303,Denmark,0101000020E6100000008DD4592E4724403FF4BD439E134C40,3200,Silkeborgvej,8220,Denmark,521,"""Aarhus""",44,183605,"""COWI""",95,"""MAJOR_ROAD""",183063,1151,"""AAR_BT_0175 3199 3200"""
161,269,0101000020E610000000EC4E019C502440A9A2D743CA134C40,3199,Aarhus,8230,Silkeborgvej,303,Denmark,0101000020E6100000C00DF82C2E5A2440CFCB5AFEF4134C40,3198,Silkeborgvej,8000,Denmark,188,"""Aarhus""",38,183607,"""COWI""",111,"""MAJOR_ROAD""",183091,1168,"""AAR_BT_0176 3199 3198"""
162,270,0101000020E6100000C00DF82C2E5A2440CFCB5AFEF4134C40,3198,Aarhus,8000,Silkeborgvej,188,Denmark,0101000020E610000000EC4E019C502440A9A2D743CA134C40,3199,Silkeborgvej,8230,Denmark,303,"""Aarhus""",37,183609,"""COWI""",115,"""MAJOR_ROAD""",183117,1168,"""AAR_BT_0177 3198 3199"""
163,271,0101000020E610000080497EBCD550244056CEF35D18104C40,3986,Aarhus,8260,Skanderborgvej,223,Denmark,0101000020E6100000805CC5B627552440CADA827CC3104C40,3987,Skanderborgvej,8260,Denmark,169,"""Aarhus""",38,186195,"""COWI""",74,"""MAJOR_ROAD""",184595,787,"""AAR_BT_0178 3986 3987"""
164,272,0101000020E6100000805CC55213552440C5425260C6104C40,3987,Aarhus,8260,Skanderborgvej,168,Denmark,0101000020E610000080497E3CBF502440DB3E0D2F1B104C40,3986,Skanderborgvej,8260,Denmark,222,"""Aarhus""",36,186197,"""COWI""",78,"""MAJOR_ROAD""",184621,789,"""AAR_BT_0179 3987 3986"""
165,273,0101000020E6100000805CC5B627552440CADA827CC3104C40,3987,Aarhus,8260,Skanderborgvej,169,Denmark,0101000020E610000000542AF9D15B244017653D91B4114C40,4373,Skanderborgvej,8260,Denmark,107,"""Aarhus""",45,186199,"""COWI""",93,"""MAJOR_ROAD""",184649,1151,"""AAR_BT_0180 3987 4373"""
166,274,0101000020E61000000054AAA0B95B24406DAD53AEB8114C40,4373,Aarhus,8260,Skanderborgvej,106,Denmark,0101000020E6100000805CC55213552440C5425260C6104C40,3987,Skanderborgvej,8260,Denmark,168,"""Aarhus""",47,186201,"""COWI""",89,"""MAJOR_ROAD""",184675,1152,"""AAR_BT_0181 4373 3987"""
167,275,0101000020E610000000542AF9D15B244017653D91B4114C40,4373,Aarhus,8260,Skanderborgvej,107,Denmark,0101000020E610000080F90FC5AE5F24407BD9C90E3E124C40,3150,Skanderborgvej,8000,Denmark,7,"""Aarhus""",40,186203,"""COWI""",60,"""MAJOR_ROAD""",184703,661,"""AAR_BT_0182 4373 3150"""
168,283,0101000020E6100000801F7284C56F2440811185BFE0174C40,4582,Risskov,8240,Grenåvej,126,Denmark,0101000020E610000000AB9501B86C2440B2316FF3F1174C40,2661,Vejlby Ringvej,8240,Denmark,126,"""Risskov""",40,186219,"""COWI""",65,"""MAJOR_ROAD""",184919,728,"""AAR_BT_0190 4582 2661"""
169,284,0101000020E610000000AB9579C76C2440C7D76861EE174C40,2661,Risskov,8240,Vejlby Ringvej,0,Denmark,0101000020E6100000801FF20CAE6F2440F79236E8E0174C40,4582,Grenåvej,8240,Denmark,125,"""Risskov""",43,186221,"""COWI""",55,"""MAJOR_ROAD""",184945,656,"""AAR_BT_0191 2661 4582"""
170,285,0101000020E6100000C0310441C26624406EAD238E77174C40,2660,Aarhus,8200,Vejlby Ringvej,20,Denmark,0101000020E6100000803B88756064244026C9ADECA2174C40,3155,Randersvej,8200,Denmark,20,"""Aarhus""",32,186223,"""COWI""",51,"""MAJOR_ROAD""",184972,458,"""AAR_BT_0192 2660 3155"""
171,286,0101000020E6100000803B88774064244096670775A1174C40,3155,Århus N,8200,Randersvej,141,Denmark,0101000020E6100000C0310408CE66244049AD078C74174C40,2660,Vejlby Ringvej,8200,Denmark,20,"""Aarhus""",29,186225,"""COWI""",62,"""MAJOR_ROAD""",184998,498,"""AAR_BT_0193 3155 2660"""
172,287,0101000020E6100000C0310441C26624406EAD238E77174C40,2660,Aarhus,8200,Vejlby Ringvej,20,Denmark,0101000020E6100000802D5A52C66524400388B68613174C40,3154,Randersvej,8200,Denmark,164,"""Aarhus""",32,186227,"""COWI""",57,"""MAJOR_ROAD""",185025,509,"""AAR_BT_0194 2660 3154"""
173,288,0101000020E6100000802D5A89DA6524400ABFE97A14174C40,3154,Aarhus,8200,Randersvej,164,Denmark,0101000020E6100000C0310408CE66244049AD078C74174C40,2660,Vejlby Ringvej,8200,Denmark,20,"""Aarhus""",27,186229,"""COWI""",64,"""MAJOR_ROAD""",185051,473,"""AAR_BT_0195 3154 2660"""
174,294,0101000020E610000000BB4737475D2440A539D71442164C40,3983,Aarhus,8200,Paludan-Müllers Vej,48,Denmark,0101000020E6100000808DC14B855E24408B789220DD164C40,2658,Hasle Ringvej,8200,Denmark,48,"""Aarhus""",38,186241,"""COWI""",70,"""MAJOR_ROAD""",185210,746,"""AAR_BT_0201 3983 2658"""
175,295,0101000020E6100000007EC782DD57244088DBA7AF63164C40,2657,Aarhus,8210,Hasle Ringvej,0,Denmark,0101000020E610000000BB4737475D2440A539D71442164C40,3983,Paludan-Müllers Vej,8200,Denmark,48,"""Aarhus""",44,186243,"""COWI""",69,"""MAJOR_ROAD""",185237,851,"""AAR_BT_0202 2657 3983"""
176,296,0101000020E610000000BB4737475D2440A539D71442164C40,3983,Aarhus,8200,Paludan-Müllers Vej,48,Denmark,0101000020E6100000007EC742D257244057365D0A68164C40,2657,Hasle Ringvej,8210,Denmark,48,"""Aarhus""",40,186245,"""COWI""",80,"""MAJOR_ROAD""",185263,880,"""AAR_BT_0203 3983 2657"""
177,297,0101000020E610000000795AE7D15224406B436E0D29164C40,2656,Aarhus,8210,Hasle Ringvej,27,Denmark,0101000020E610000000B7EEAC984E244017CC20541A164C40,3159,Viborgvej,8210,Denmark,209,"""Aarhus""",46,186247,"""COWI""",50,"""MAJOR_ROAD""",185290,640,"""AAR_BT_0204 2656 3159"""
178,298,0101000020E610000000B7EE2E8F4E24406A060CBD18164C40,3159,Aarhus,8210,Viborgvej,209,Denmark,0101000020E610000000795A84DA522440BFEA445626164C40,2656,Hasle Ringvej,8210,Denmark,36,"""Aarhus""",44,186249,"""COWI""",54,"""MAJOR_ROAD""",185316,665,"""AAR_BT_0205 3159 2656"""
179,299,0101000020E610000000795AE7D15224406B436E0D29164C40,2656,Aarhus,8210,Hasle Ringvej,27,Denmark,0101000020E61000004031CECF765224401B5780A4A6154C40,3158,Viborgvej,8210,Denmark,165-167,"""Aarhus""",39,186251,"""COWI""",73,"""MAJOR_ROAD""",185343,781,"""AAR_BT_0206 2656 3158"""
180,300,0101000020E61000004031CECF765224401B5780A4A6154C40,3158,Aarhus,8210,Viborgvej,165-167,Denmark,0101000020E610000000795A84DA522440BFEA445626164C40,2656,Hasle Ringvej,8210,Denmark,36,"""Aarhus""",42,186253,"""COWI""",63,"""MAJOR_ROAD""",185369,742,"""AAR_BT_0207 3158 2656"""
181,312,0101000020E610000000EC4E019C502440A9A2D743CA134C40,3199,Aarhus,8230,Silkeborgvej,303,Denmark,0101000020E610000080FC50C5A44C2440213CF0DAF6124C40,2653,Viby Ringvej,8230,Denmark,303,"""Aarhus""",45,189678,"""COWI""",127,"""MAJOR_ROAD""",187191,1596,"""AAR_BT_0219 3199 2653"""
182,303,0101000020E6100000409485D29B4D2440CB4F08AC7C154C40,2655,Aarhus,8210,Åby Ringvej,0,Denmark,0101000020E61000004031CECF765224401B5780A4A6154C40,3158,Viborgvej,8210,Denmark,165-167,"""Aarhus""",45,189660,"""COWI""",66,"""MAJOR_ROAD""",186953,816,"""AAR_BT_0210 2655 3158"""
183,304,0101000020E61000004031CECF765224401B5780A4A6154C40,3158,Aarhus,8210,Viborgvej,165-167,Denmark,0101000020E6100000409485AF824D2440DF93BAA280154C40,2655,Åby Ringvej,8210,Denmark,165-167,"""Aarhus""",40,189662,"""COWI""",76,"""MAJOR_ROAD""",186979,844,"""AAR_BT_0211 3158 2655"""
184,318,0101000020E61000000088BA9FBE5A24400B142352DF114C40,3988,Aarhus,8000,Marselis Boulevard,174,Denmark,0101000020E6100000802CD368054F2440CB869669FC114C40,2652,Viby Ringvej,8230,Denmark,104,"""Aarhus""",62,189690,"""COWI""",109,"""MAJOR_ROAD""",187350,1873,"""AAR_BT_0225 3988 2652"""
185,319,0101000020E6100000808DECA8B8502440C5327C6DE6104C40,2651,Aarhus,8260,Viby Ringvej,0,Denmark,0101000020E61000000088BA67BA5A24409556CF2FDC114C40,3988,Haveforening Af 1918,8000,Denmark,4,"""Aarhus""",56,189692,"""COWI""",119,"""MAJOR_ROAD""",187377,1837,"""AAR_BT_0226 2651 3988"""
186,320,0101000020E61000000088BA9FBE5A24400B142352DF114C40,3988,Aarhus,8000,Marselis Boulevard,174,Denmark,0101000020E6100000808DECF09D5024400BDF650EE5104C40,2651,Viby Ringvej,8260,Denmark,174,"""Aarhus""",54,189694,"""COWI""",126,"""MAJOR_ROAD""",187403,1904,"""AAR_BT_0227 3988 2651"""
187,321,0101000020E6100000808DECF09D5024400BDF650EE5104C40,2651,Aarhus,8260,Viby Ringvej,0,Denmark,0101000020E610000080497E3CBF502440DB3E0D2F1B104C40,3986,Skanderborgvej,8260,Denmark,222,"""Aarhus""",36,189696,"""COWI""",90,"""MAJOR_ROAD""",187430,902,"""AAR_BT_0228 2651 3986"""
188,322,0101000020E610000080497EBCD550244056CEF35D18104C40,3986,Aarhus,8260,Skanderborgvej,223,Denmark,0101000020E6100000808DECA8B8502440C5327C6DE6104C40,2651,Viby Ringvej,8260,Denmark,223,"""Aarhus""",37,189698,"""COWI""",91,"""MAJOR_ROAD""",187456,928,"""AAR_BT_0229 3986 2651"""
189,323,0101000020E6100000808DECF09D5024400BDF650EE5104C40,2651,Aarhus,8260,Viby Ringvej,0,Denmark,0101000020E6100000805CC5B627552440CADA827CC3104C40,3987,Skanderborgvej,8260,Denmark,169,"""Aarhus""",30,189700,"""COWI""",102,"""MAJOR_ROAD""",187483,858,"""AAR_BT_0230 2651 3987"""
190,389,0101000020E610000040F25CF79C772440901970F5CF1B4C40,4346,Lystrup,8520,Lystrupvej,201,Denmark,0101000020E6100000805CE280F178244045A165DD3F1A4C40,4340,Lystrupvej,8240,Denmark,42,"""Risskov""",36,192404,"""COWI""",136,"""MAJOR_ROAD""",190908,1377,"""AAR_BT_0297 4346 4340"""
191,390,0101000020E6100000805CE280F178244045A165DD3F1A4C40,4340,Risskov,8240,Lystrupvej,42,Denmark,0101000020E610000040F25CF79C772440901970F5CF1B4C40,4346,Lystrupvej,8520,Denmark,201,"""Lystrup""",38,192406,"""COWI""",130,"""MAJOR_ROAD""",190934,1383,"""AAR_BT_0298 4340 4346"""
192,391,0101000020E610000080C1707E91562440860F8A5ABB194C40,4360,Aarhus,8200,Humlehusvej,16,Denmark,0101000020E6100000C09D6FADC85B2440A81E163D3D1A4C40,4365,Skejby Nordlandsvej,8200,Denmark,311,"""Aarhus""",32,192408,"""COWI""",91,"""MAJOR_ROAD""",190963,809,"""AAR_BT_0299 4360 4365"""
193,392,0101000020E6100000C09D6FADC85B2440A81E163D3D1A4C40,4365,Aarhus,8200,Skejby Nordlandsvej,311,Denmark,0101000020E610000080C1708E7256244042F64205BF194C40,4360,Humlehusvej,8200,Denmark,16,"""Aarhus""",31,229068,"""COWI""",99,"""MAJOR_ROAD""",192438,843,"""AAR_BT_0300 4365 4360"""
194,394,0101000020E610000000884BF9396D2440EE96060FE91A4C40,4358,Risskov,8240,Sindalsvej,40,Denmark,0101000020E6100000C09D6FADC85B2440A81E163D3D1A4C40,4365,Skejby Nordlandsvej,8200,Denmark,311,"""Aarhus""",44,229072,"""COWI""",187,"""MAJOR_ROAD""",192492,2283,"""AAR_BT_0302 4358 4365"""
195,395,0101000020E610000000884BF9396D2440EE96060FE91A4C40,4358,Risskov,8240,Sindalsvej,40,Denmark,0101000020E610000080CCEBED477E2440F7406016C51A4C40,4354,Viengevej,8240,Denmark,0,"""Risskov""",42,229074,"""COWI""",193,"""MAJOR_ROAD""",192520,2248,"""AAR_BT_0303 4358 4354"""
196,396,0101000020E610000080CCEBED477E2440F7406016C51A4C40,4354,Risskov,8240,Viengevej,0,Denmark,0101000020E610000000884BF9396D2440EE96060FE91A4C40,4358,Sindalsvej,8240,Denmark,40,"""Risskov""",44,229076,"""COWI""",183,"""MAJOR_ROAD""",192546,2251,"""AAR_BT_0304 4354 4358"""
197,397,0101000020E6100000804DF2534E5D2440D23013757F194C40,4362,Aarhus,8200,Randersvej,0,Denmark,0101000020E6100000801F9DEAC261244085EE5EDA41184C40,4361,Randersvej,8200,Denmark,0,"""Aarhus""",53,229078,"""COWI""",82,"""MAJOR_ROAD""",192574,1210,"""AAR_BT_0313 4362 4361"""
198,398,0101000020E6100000801F9D78DA6124406A76553344184C40,4361,Aarhus,8200,Randersvej,210,Denmark,0101000020E6100000804DF265695D24403ECA4F2480194C40,4362,Randersvej,8200,Denmark,210,"""Aarhus""",54,229080,"""COWI""",80,"""MAJOR_ROAD""",192600,1204,"""AAR_BT_0314 4361 4362"""
199,399,0101000020E6100000801F9DEAC261244085EE5EDA41184C40,4361,Aarhus,8200,Randersvej,0,Denmark,0101000020E6100000803B88774064244096670775A1174C40,3155,Randersvej,8200,Denmark,141,"""\u00c5rhus N""",42,229082,"""COWI""",54,"""MAJOR_ROAD""",192627,627,"""AAR_BT_0315 4361 3155"""
200,400,0101000020E6100000803B88756064244026C9ADECA2174C40,3155,Aarhus,8200,Randersvej,0,Denmark,0101000020E6100000801F9D78DA6124406A76553344184C40,4361,Randersvej,8200,Denmark,210,"""Aarhus""",41,229084,"""COWI""",55,"""MAJOR_ROAD""",192653,631,"""AAR_BT_0316 3155 4361"""
201,401,0101000020E610000080FF57933B7224408689A59D5E184C40,4351,Risskov,8240,Vestre Strandalle,70A,Denmark,0101000020E610000000AB9501B86C2440B2316FF3F1174C40,2661,Vejlby Ringvej,8240,Denmark,70A,"""Risskov""",31,229086,"""COWI""",89,"""MAJOR_ROAD""",192681,763,"""AAR_BT_0317 4351 2661"""
202,402,0101000020E610000000AB9579C76C2440C7D76861EE174C40,2661,Risskov,8240,Vejlby Ringvej,0,Denmark,0101000020E610000080FF57933B7224408689A59D5E184C40,4351,Vestre Strandalle,8240,Denmark,70A,"""Risskov""",32,229088,"""COWI""",85,"""MAJOR_ROAD""",192707,763,"""AAR_BT_0318 2661 4351"""
203,403,0101000020E6100000002CB767FE892440FFC80976FB1A4C40,4356,Ega,8250,Mejlbyvej,2B,Denmark,0101000020E610000080DFDCF52E8E2440141A5E29141B4C40,4353,Grenåvej,8250,Denmark,481,"""Ega""",45,229090,"""COWI""",74,"""MAJOR_ROAD""",192734,918,"""AAR_BT_0321 4356 4353"""
204,404,0101000020E610000080DFDC270C8E2440A5261DFF161B4C40,4353,Ega,8250,Grenåvej,481,Denmark,0101000020E6100000002CB744128A24401A969AB4FB1A4C40,4356,Mejlbyvej,8250,Denmark,4,"""Ega""",47,229092,"""COWI""",67,"""MAJOR_ROAD""",192760,881,"""AAR_BT_0322 4353 4356"""
205,406,0101000020E610000000132AACDE8824400D7CA67D7E1A4C40,4569,Ega,8250,Grenåvej,440,Denmark,0101000020E6100000002CB744128A24401A969AB4FB1A4C40,4356,Mejlbyvej,8250,Denmark,4,"""Ega""",33,229096,"""COWI""",63,"""MAJOR_ROAD""",192813,586,"""AAR_BT_0324 4569 4356"""
206,407,0101000020E610000080CCEBED477E2440F7406016C51A4C40,4354,Risskov,8240,Viengevej,0,Denmark,0101000020E610000000999D3DE8842440B2E68BC5371A4C40,4578,Grenåvej,8250,Denmark,402,"""Ega""",40,229098,"""COWI""",101,"""MAJOR_ROAD""",192840,1131,"""AAR_BT_0325 4354 4578"""
207,408,0101000020E610000000999D4CD98424409DAC28323C1A4C40,4578,Ega,8250,Grenåvej,425,Denmark,0101000020E610000080CCEBED477E2440F7406016C51A4C40,4354,Viengevej,8240,Denmark,425,"""Risskov""",48,229100,"""COWI""",83,"""MAJOR_ROAD""",192866,1103,"""AAR_BT_0326 4578 4354"""
208,409,0101000020E6100000805CE280F178244045A165DD3F1A4C40,4340,Risskov,8240,Lystrupvej,42,Denmark,0101000020E6100000C02B49FEE57B2440464C2BE5A7194C40,4567,Grenåvej,8240,Denmark,42,"""Risskov""",36,229102,"""COWI""",94,"""MAJOR_ROAD""",192893,948,"""AAR_BT_0329 4340 4567"""
209,410,0101000020E6100000C02B493AD77B2440CCA609F4AB194C40,4567,Risskov,8240,Grenåvej,0,Denmark,0101000020E6100000805CE280F178244045A165DD3F1A4C40,4340,Lystrupvej,8240,Denmark,42,"""Risskov""",43,229104,"""COWI""",78,"""MAJOR_ROAD""",192919,925,"""AAR_BT_0330 4567 4340"""
210,412,0101000020E61000000014063310752440241B72A74C194C40,4572,Risskov,8240,Grenåvej,0,Denmark,0101000020E6100000805CE280F178244045A165DD3F1A4C40,4340,Lystrupvej,8240,Denmark,42,"""Risskov""",43,229108,"""COWI""",103,"""MAJOR_ROAD""",192972,1219,"""AAR_BT_0332 4572 4340"""
211,413,0101000020E610000000A27E47B36E24407B754BF02F194C40,4564,Risskov,8240,Vejlby Centervej,7,Denmark,0101000020E61000000014063310752440241B72A74C194C40,4572,Grenåvej,8240,Denmark,7,"""Risskov""",36,229110,"""COWI""",88,"""MAJOR_ROAD""",193000,872,"""AAR_BT_0333 4564 4572"""
212,414,0101000020E6100000001406390A752440A25186AF4F194C40,4572,Risskov,8240,Grenåvej,0,Denmark,0101000020E610000000A27E8DB86E2440D0E0035033194C40,4564,Vejlby Centervej,8240,Denmark,7,"""Risskov""",40,229112,"""COWI""",76,"""MAJOR_ROAD""",193026,854,"""AAR_BT_0334 4572 4564"""
213,415,0101000020E610000000A27E47B36E24407B754BF02F194C40,4564,Risskov,8240,Vejlby Centervej,7,Denmark,0101000020E610000000E067CF1070244099903B86CB184C40,4581,Grenåvej,8240,Denmark,7,"""Risskov""",30,229114,"""COWI""",62,"""MAJOR_ROAD""",193053,519,"""AAR_BT_0335 4564 4581"""
214,416,0101000020E610000000E0670E2C7024402DB4BFE9CA184C40,4581,Risskov,8240,Grenåvej,0,Denmark,0101000020E610000000A27E8DB86E2440D0E0035033194C40,4564,Vejlby Centervej,8240,Denmark,7,"""Risskov""",30,229116,"""COWI""",66,"""MAJOR_ROAD""",193079,543,"""AAR_BT_0336 4581 4564"""
215,417,0101000020E610000080FF57933B7224408689A59D5E184C40,4351,Risskov,8240,Vestre Strandalle,70A,Denmark,0101000020E610000000E0670E2C7024402DB4BFE9CA184C40,4581,Grenåvej,8240,Denmark,70A,"""Risskov""",35,229118,"""COWI""",84,"""MAJOR_ROAD""",193106,810,"""AAR_BT_0337 4351 4581"""
216,418,0101000020E610000000E067CF1070244099903B86CB184C40,4581,Risskov,8240,Grenåvej,0,Denmark,0101000020E610000080FF57933B7224408689A59D5E184C40,4351,Vestre Strandalle,8240,Denmark,70A,"""Risskov""",28,229120,"""COWI""",112,"""MAJOR_ROAD""",193132,881,"""AAR_BT_0338 4581 4351"""
217,419,0101000020E610000080FF57933B7224408689A59D5E184C40,4351,Risskov,8240,Vestre Strandalle,70A,Denmark,0101000020E6100000801FF20CAE6F2440F79236E8E0174C40,4582,Grenåvej,8240,Denmark,125,"""Risskov""",29,229122,"""COWI""",76,"""MAJOR_ROAD""",193159,611,"""AAR_BT_0339 4351 4582"""
218,420,0101000020E6100000801F7284C56F2440811185BFE0174C40,4582,Risskov,8240,Grenåvej,126,Denmark,0101000020E610000080FF57933B7224408689A59D5E184C40,4351,Vestre Strandalle,8240,Denmark,70A,"""Risskov""",36,229124,"""COWI""",59,"""MAJOR_ROAD""",193185,587,"""AAR_BT_0340 4582 4351"""
219,421,0101000020E61000000088F4EDC5592440B16D6609F4164C40,4363,Aarhus,8200,Paludan-Müllers Vej,231,Denmark,0101000020E610000000BB4737475D2440A539D71442164C40,3983,Paludan-Müllers Vej,8200,Denmark,48,"""Aarhus""",28,229126,"""COWI""",96,"""MAJOR_ROAD""",193213,742,"""AAR_BT_0341 4363 3983"""
220,422,0101000020E610000000BB4737475D2440A539D71442164C40,3983,Aarhus,8200,Paludan-Müllers Vej,48,Denmark,0101000020E61000000088F4EDC5592440B16D6609F4164C40,4363,Paludan-Müllers Vej,8200,Denmark,231,"""Aarhus""",29,229128,"""COWI""",92,"""MAJOR_ROAD""",193239,743,"""AAR_BT_0342 3983 4363"""
221,423,0101000020E610000080976F954027244009F2C19C44184C40,4333,Tilst,8381,Viborgvej,0,Denmark,0101000020E610000080D6C41C5431244091EDE83EBD174C40,4347,Viborgvej,8381,Denmark,0,"""Tilst""",53,229130,"""COWI""",90,"""MAJOR_ROAD""",193268,1320,"""AAR_BT_0343 4333 4347"""
