importid,_id,point_1_geo,point_1_name,point_1_city,point_1_postal_code,point_1_street,point_1_street_number,point_1_country,point_2_geo,point_2_name,point_2_street,point_2_postal_code,point_2_country,point_2_street_number,point_2_city,ndt_in_kmh,rba_id,organisation,duration_in_sec,road_type,report_id,distance_in_meters,report_name
89,217,0101000020E6100000808D41DC745E2440AF1534FDDF164C40,2658,Aarhus,8200,Hasle Ringvej,0,Denmark,0101000020E6100000007EC742D257244057365D0A68164C40,2657,Hasle Ringvej,8210,Denmark,0,"""Aarhus""",49,180165,"""COWI""",66,"""MAJOR_ROAD""",179310,906,"""AAR_BT_0124 2658 2657"""
90,218,0101000020E6100000007EC782DD57244088DBA7AF63164C40,2657,Aarhus,8210,Hasle Ringvej,0,Denmark,0101000020E6100000808DC14B855E24408B789220DD164C40,2658,Hasle Ringvej,8200,Denmark,0,"""Aarhus""",50,180167,"""COWI""",65,"""MAJOR_ROAD""",179336,911,"""AAR_BT_0125 2657 2658"""
91,219,0101000020E6100000007EC742D257244057365D0A68164C40,2657,Aarhus,8210,Hasle Ringvej,0,Denmark,0101000020E610000000795AE7D15224406B436E0D29164C40,2656,Hasle Ringvej,8210,Denmark,27,"""Aarhus""",54,180169,"""COWI""",43,"""MAJOR_ROAD""",179364,641,"""AAR_BT_0126 2657 2656"""
92,220,0101000020E610000000795A84DA522440BFEA445626164C40,2656,Aarhus,8210,Hasle Ringvej,36,Denmark,0101000020E6100000007EC782DD57244088DBA7AF63164C40,2657,Hasle Ringvej,8210,Denmark,36,"""Aarhus""",56,180171,"""COWI""",41,"""MAJOR_ROAD""",179390,641,"""AAR_BT_0127 2656 2657"""
93,221,0101000020E610000000795AE7D15224406B436E0D29164C40,2656,Aarhus,8210,Hasle Ringvej,27,Denmark,0101000020E6100000409485AF824D2440DF93BAA280154C40,2655,Åby Ringvej,8210,Denmark,27,"""Aarhus""",47,180173,"""COWI""",67,"""MAJOR_ROAD""",179418,872,"""AAR_BT_0128 2656 2655"""
94,222,0101000020E6100000409485D29B4D2440CB4F08AC7C154C40,2655,Aarhus,8210,Åby Ringvej,36,Denmark,0101000020E610000000795A84DA522440BFEA445626164C40,2656,Hasle Ringvej,8210,Denmark,36,"""Aarhus""",47,180175,"""COWI""",67,"""MAJOR_ROAD""",179444,868,"""AAR_BT_0129 2655 2656"""
95,223,0101000020E6100000409485AF824D2440DF93BAA280154C40,2655,Aarhus,8210,Åby Ringvej,0,Denmark,0101000020E610000040A0161B5949244074988B2281144C40,2654,Åby Ringvej,8230,Denmark,0,"""Aarhus""",49,182194,"""COWI""",75,"""MAJOR_ROAD""",180547,1020,"""AAR_BT_0130 2655 2654"""
96,224,0101000020E610000040A0168F7B492440AA7AD6CA80144C40,2654,Aarhus,8230,Åby Ringvej,0,Denmark,0101000020E6100000409485D29B4D2440CB4F08AC7C154C40,2655,Åby Ringvej,8210,Denmark,0,"""Aarhus""",54,182196,"""COWI""",67,"""MAJOR_ROAD""",180573,1008,"""AAR_BT_0131 2654 2655"""
97,225,0101000020E610000040A0161B5949244074988B2281144C40,2654,Aarhus,8230,Åby Ringvej,0,Denmark,0101000020E610000080FC50C5A44C2440213CF0DAF6124C40,2653,Viby Ringvej,8230,Denmark,0,"""Aarhus""",52,182198,"""COWI""",101,"""MAJOR_ROAD""",180601,1462,"""AAR_BT_0132 2654 2653"""
98,226,0101000020E610000080FC5053BC4C2440BA34D198F9124C40,2653,Aarhus,8230,Viby Ringvej,0,Denmark,0101000020E610000040A0168F7B492440AA7AD6CA80144C40,2654,Åby Ringvej,8230,Denmark,0,"""Aarhus""",48,182200,"""COWI""",108,"""MAJOR_ROAD""",180627,1450,"""AAR_BT_0133 2653 2654"""
99,227,0101000020E610000080FC50C5A44C2440213CF0DAF6124C40,2653,Aarhus,8230,Viby Ringvej,0,Denmark,0101000020E6100000802CD383EA4E24408B859EC6FB114C40,2652,Viby Ringvej,8230,Denmark,104,"""Aarhus""",57,182202,"""COWI""",58,"""MAJOR_ROAD""",180655,913,"""AAR_BT_0134 2653 2652"""
100,228,0101000020E6100000802CD368054F2440CB869669FC114C40,2652,Aarhus,8230,Viby Ringvej,104,Denmark,0101000020E610000080FC5053BC4C2440BA34D198F9124C40,2653,Viby Ringvej,8230,Denmark,104,"""Aarhus""",56,182204,"""COWI""",59,"""MAJOR_ROAD""",180681,920,"""AAR_BT_0135 2652 2653"""
101,229,0101000020E6100000802CD383EA4E24408B859EC6FB114C40,2652,Aarhus,8230,Viby Ringvej,104,Denmark,0101000020E6100000808DECF09D5024400BDF650EE5104C40,2651,Viby Ringvej,8260,Denmark,104,"""Aarhus""",56,182206,"""COWI""",62,"""MAJOR_ROAD""",180709,968,"""AAR_BT_0136 2652 2651"""
102,230,0101000020E6100000808DECA8B8502440C5327C6DE6104C40,2651,Aarhus,8260,Viby Ringvej,0,Denmark,0101000020E6100000802CD368054F2440CB869669FC114C40,2652,Viby Ringvej,8230,Denmark,104,"""Aarhus""",57,182208,"""COWI""",61,"""MAJOR_ROAD""",180735,966,"""AAR_BT_0137 2651 2652"""
103,231,0101000020E6100000C0AB01D64D6D244069FDBD6847164C40,3182,Aarhus,8200,Nordre Ringgade,98,Denmark,0101000020E6100000001EFAC41E6B2440CCE7D96012164C40,3183,Nordre Ringgade,8200,Denmark,64B,"""Aarhus""",32,182210,"""COWI""",36,"""MAJOR_ROAD""",180764,321,"""AAR_BT_0138 3182 3183"""
104,232,0101000020E6100000000F7D31266B2440FFFAB59A0F164C40,3183,Aarhus,8200,Nordre Ringgade,64B,Denmark,0101000020E6100000C0AB01D64D6D244069FDBD6847164C40,3182,Nordre Ringgade,8200,Denmark,98,"""Aarhus""",34,182212,"""COWI""",34,"""MAJOR_ROAD""",180790,324,"""AAR_BT_0139 3183 3182"""
