report_id,st_x,st_y,st_x,st_y
158324,10.1049860760575,56.2317206942822,10.1165896654129,56.2257947825602
158355,10.1165896654129,56.2257947825602,10.1070275902748,56.2174064410551
158386,10.1049860760575,56.2317206942822,10.1396957030411,56.2149789163549
158415,10.139780192625,56.2150859326483,10.1051094576721,56.2318176005089
158446,10.107112,56.2173171142913,10.125196144844,56.2349021110869
158475,10.1250131428242,56.2348975970264,10.1070275902748,56.2174064410551
158505,10.139780192625,56.2150859326483,10.1165896654129,56.2257947825602
158536,10.1250131428242,56.2348975970264,10.1449070085984,56.2138565106957
184784,10.1761418515205,56.1519496985628,10.1580607288361,56.1477407419276
158565,10.1450733055573,56.213990751044,10.125196144844,56.2349021110869
158595,10.107112,56.2173171142913,10.1449070085984,56.2138565106957
158624,10.1450733055573,56.213990751044,10.1070275902748,56.2174064410551
158655,10.1449070085984,56.2138565106957,10.2462993055574,56.2252112081861
184813,10.18218395949,56.1738916445641,10.1866526023642,56.170278565367
185104,10.1958043435859,56.1846147810131,10.1927920147152,56.181459995227
185131,10.1929060085984,56.1813532582866,10.1987786994057,56.1802833930269
185157,10.198932926424,56.1803125039424,10.1927920147152,56.181459995227
185184,10.1844853239079,56.178710604126,10.18218395949,56.1738916445641
185396,10.1515794551907,56.1678671875557,10.1535085717583,56.172678485884
185422,10.1534361521149,56.1726299580303,10.1513876772461,56.1679881487869
187006,10.14325794841,56.1601908856982,10.1390255042993,56.1532673528204
187032,10.1390603730165,56.153135887761,10.1435208048935,56.1601804301511
158684,10.2461544662705,56.225372248832,10.1450733055573,56.213990751044
158715,10.1449070085984,56.2138565106957,10.1610383852501,56.2085202681621
158744,10.1611572504044,56.2086463075733,10.1450733055573,56.213990751044
158776,10.1671894318772,56.2183101722366,10.1730234809856,56.2107182042636
158805,10.1731616147499,56.2107562421903,10.1671894318772,56.2183101722366
158836,10.1730234809856,56.2107182042636,10.175128,56.20391
158865,10.1754069497375,56.2041725821264,10.1731616147499,56.2107562421903
158895,10.1396957030411,56.2149789163549,10.1610383852501,56.2085202681621
158983,10.1610383852501,56.2085202681621,10.175128,56.20391
159014,10.175128,56.20391,10.1822382195739,56.1992021888451
159043,10.1824447496681,56.1992230786895,10.1754069497375,56.2041725821264
187059,10.14325794841,56.1601908856982,10.1574402245369,56.1546101382167
187085,10.1574402245369,56.1546101382167,10.1435208048935,56.1601804301511
187112,10.1498743091927,56.1482420941843,10.1390255042993,56.1532673528204
187138,10.1390603730165,56.153135887761,10.1496946011887,56.148158423712
187165,10.1498743091927,56.1482420941843,10.1574402245369,56.1546101382167
187218,10.1496946011887,56.148158423712,10.1580607288361,56.1477407419276
187244,10.1580607288361,56.1477407419276,10.1498743091927,56.1482420941843
187271,10.1543381459981,56.1405155167573,10.1580607288361,56.1477407419276
187297,10.1580607288361,56.1477407419276,10.1541329570084,56.1404960893661
